case,filename,subrun,target_channel,channel,nPulses_mean,nPulses_median,nPulses_std,occupancy,frac_dead,z_nPulses_median,abs_z_nPulses_median,above_z8,above_z15,is_target_channel
A,Digitizer_run2014_subrun168.csv,168,4,70,1.8928571428571428,1.0,1.5336062245400712,0.056112224448897796,0.0,-0.09021464459636286,0.09021464459636286,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,65,1.4791666666666667,1.0,0.6519882303249571,0.04809619238476954,0.0,-0.08515561937751816,0.08515561937751816,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,40,1.7027027027027026,1.0,1.0766425401028694,0.03707414829659319,0.0,-0.08252805329048929,0.08252805329048929,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,32,1.543859649122807,1.0,0.7336351623105629,0.05711422845691383,0.0,-0.08178143050230882,0.08178143050230882,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,76,1.7826086956521738,1.0,1.2831491908753994,0.1843687374749499,0.0,-0.07858331759028715,0.07858331759028715,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,45,1.490909090909091,1.0,0.6631218890450228,0.05511022044088176,0.0,-0.07732262832765856,0.07732262832765856,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,30,1.5060240963855422,1.0,0.7866801807147275,0.08316633266533066,0.0,-0.07541501215091867,0.07541501215091867,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,36,1.6785714285714286,1.0,1.007928978729052,0.0841683366733467,0.0,-0.07325443424984496,0.07325443424984496,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,75,1.459016393442623,1.0,0.696988055655745,0.061122244488977955,0.0,-0.07063131471912519,0.07063131471912519,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,90,1.4385964912280702,1.0,0.655132043932724,0.05711422845691383,0.0,-0.0700702032209353,0.0700702032209353,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,26,1.4,1.0,0.6689227362847251,0.06012024048096192,0.0,-0.065184913358378,0.065184913358378,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,10,1.2972972972972974,1.0,0.5708115501860713,0.03707414829659319,0.0,-0.059478868928849134,0.059478868928849134,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,14,1.58,1.0,0.835195198985341,0.050100200400801605,0.0,-0.05925902242036567,0.05925902242036567,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,15,1.462962962962963,1.0,0.692628653343597,0.05410821643286573,0.0,-0.055129463821589196,0.055129463821589196,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,66,1.4583333333333333,1.0,0.7978250577006437,0.04809619238476954,0.0,-0.054391975451550646,0.054391975451550646,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,87,1.4301075268817205,1.0,0.8647423524601895,0.09318637274549098,0.0,-0.05304897226490778,0.05304897226490778,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,43,1.4878048780487805,1.0,0.9252554031053316,0.041082164328657314,0.0,-0.05048874041520922,0.05048874041520922,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,13,1.48,1.0,0.7351245903010634,0.050100200400801605,0.0,-0.048644157532686715,0.048644157532686715,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,48,1.6040816326530611,1.0,0.9465119710503329,0.24549098196392785,0.0,-0.0477894139785996,0.0477894139785996,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,89,1.2127659574468086,1.0,0.46326676570547937,0.047094188376753505,0.0,-0.045526122416213705,0.045526122416213705,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,12,1.4444444444444444,1.0,0.6236095644623235,0.045090180360721446,0.0,-0.04460445902450349,0.04460445902450349,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,29,1.5443037974683544,1.0,0.8593000782454135,0.07915831663326653,0.0,-0.039776722495517426,0.039776722495517426,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,83,1.293103448275862,1.0,0.5622205563860045,0.05811623246492986,0.0,-0.038949967184669664,0.038949967184669664,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,5,1.25,1.0,0.7005289007176939,0.028056112224448898,0.0,-0.03859321231770104,0.03859321231770104,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,64,1.3333333333333333,1.0,0.621825270205921,0.05110220440881764,0.0,-0.038593212317629716,0.038593212317629716,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,34,1.5303030303030303,1.0,0.7487363091276263,0.06613226452905811,0.0,-0.0385932123175973,0.0385932123175973,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,0,1.5,1.0,1.1670771035014103,0.03006012024048096,0.0,-0.030266338622844134,0.030266338622844134,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,46,1.620253164556962,1.0,0.9514334323070913,0.07915831663326653,0.0,-0.02911137722951408,0.02911137722951408,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,73,1.4836065573770492,1.0,0.8550637360360446,0.12224448897795591,0.0,-0.02353449779995996,0.02353449779995996,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,7,1.509090909090909,1.0,0.8360561577967709,0.05511022044088176,0.0,-0.023534497799929447,0.023534497799929447,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,55,1.9931972789115646,1.0,1.8375706067487765,0.14729458917835672,0.0,-0.02099494082880142,0.02099494082880142,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,22,1.457142857142857,1.0,0.7005400077947072,0.03507014028056112,0.0,-0.020994940828716762,0.020994940828716762,False,False,False
A,Digitizer_run2014_subrun168.csv,168,4,27,1.484375,1.0,0.7966634289633352,0.06412825651302605,0.0,-0.02020206142644995,0.02020206142644995,False,False,False
